fetched_at,id,last_opened_at,updated_at,word_count,reading_progress,cutoff
2025-01-25T07:09:49.664Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T06:25:46.191000+00:00,2025-01-25T06:48:31.823105+00:00,79729,0.7452290214559738,500
2025-01-25T07:09:49.782Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T06:50:24.247000+00:00,2025-01-25T07:02:12.342235+00:00,177746,0.009366883969898078,500
2025-01-25T08:13:59.882Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T06:25:46.191000+00:00,2025-01-25T06:48:31.823105+00:00,79729,0.7452290214559738,500
2025-01-25T08:13:59.921Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T06:50:24.247000+00:00,2025-01-25T07:02:12.342235+00:00,177746,0.009366883969898078,500
2025-01-25T09:11:33.375Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T06:25:46.191000+00:00,2025-01-25T06:48:31.823105+00:00,79729,0.7452290214559738,500
2025-01-25T09:11:33.438Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T06:50:24.247000+00:00,2025-01-25T07:02:12.342235+00:00,177746,0.009366883969898078,500
2025-01-25T10:10:35.903Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T06:25:46.191000+00:00,2025-01-25T06:48:31.823105+00:00,79729,0.7452290214559738,500
2025-01-25T10:10:35.940Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T06:50:24.247000+00:00,2025-01-25T07:02:12.342235+00:00,177746,0.009366883969898078,500
2025-01-25T11:09:15.788Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T06:25:46.191000+00:00,2025-01-25T06:48:31.823105+00:00,79729,0.7452290214559738,500
2025-01-25T11:09:15.904Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T06:50:24.247000+00:00,2025-01-25T07:02:12.342235+00:00,177746,0.009366883969898078,500
2025-01-25T12:18:42.721Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T06:25:46.191000+00:00,2025-01-25T06:48:31.823105+00:00,79729,0.7452290214559738,500
2025-01-25T12:18:42.760Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T06:50:24.247000+00:00,2025-01-25T07:02:12.342235+00:00,177746,0.009366883969898078,500
2025-01-25T13:12:46.999Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T06:25:46.191000+00:00,2025-01-25T06:48:31.823105+00:00,79729,0.7452290214559738,500
2025-01-25T13:12:47.104Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T06:50:24.247000+00:00,2025-01-25T07:02:12.342235+00:00,177746,0.009366883969898078,500
2025-01-25T14:09:32.451Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T06:25:46.191000+00:00,2025-01-25T06:48:31.823105+00:00,79729,0.7452290214559738,500
2025-01-25T14:09:32.562Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T06:50:24.247000+00:00,2025-01-25T07:02:12.342235+00:00,177746,0.009366883969898078,500
2025-01-25T15:10:06.136Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T06:25:46.191000+00:00,2025-01-25T06:48:31.823105+00:00,79729,0.7452290214559738,500
2025-01-25T15:10:06.196Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T06:50:24.247000+00:00,2025-01-25T07:02:12.342235+00:00,177746,0.009366883969898078,500
2025-01-25T16:12:56.073Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T06:25:46.191000+00:00,2025-01-25T06:48:31.823105+00:00,79729,0.7452290214559738,500
2025-01-25T16:12:56.113Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T06:50:24.247000+00:00,2025-01-25T07:02:12.342235+00:00,177746,0.009366883969898078,500
2025-01-25T17:08:38.997Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T06:25:46.191000+00:00,2025-01-25T06:48:31.823105+00:00,79729,0.7452290214559738,500
2025-01-25T17:08:39.042Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T06:50:24.247000+00:00,2025-01-25T07:02:12.342235+00:00,177746,0.009366883969898078,500
2025-01-25T18:13:36.566Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T06:25:46.191000+00:00,2025-01-25T06:48:31.823105+00:00,79729,0.7452290214559738,500
2025-01-25T18:13:36.603Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T06:50:24.247000+00:00,2025-01-25T07:02:12.342235+00:00,177746,0.009366883969898078,500
2025-01-25T19:08:14.839Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T06:25:46.191000+00:00,2025-01-25T06:48:31.823105+00:00,79729,0.7452290214559738,500
2025-01-25T19:08:14.896Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T06:50:24.247000+00:00,2025-01-25T07:02:12.342235+00:00,177746,0.009366883969898078,500
2025-01-25T20:11:02.460Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T19:36:22.110000+00:00,2025-01-25T19:39:43.249127+00:00,79729,0.7580828084220793,500
2025-01-25T20:11:02.526Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T19:43:51.259000+00:00,2025-01-25T19:52:46.476155+00:00,177746,0.015383061835082949,500
2025-01-25T21:09:15.301Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T19:36:22.110000+00:00,2025-01-25T19:39:43.249127+00:00,79729,0.7580828084220793,500
2025-01-25T21:09:15.346Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T19:43:51.259000+00:00,2025-01-25T19:52:46.476155+00:00,177746,0.015383061835082949,500
2025-01-25T22:11:05.129Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T19:36:22.110000+00:00,2025-01-25T19:39:43.249127+00:00,79729,0.7580828084220793,500
2025-01-25T22:11:05.171Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T19:43:51.259000+00:00,2025-01-25T19:52:46.476155+00:00,177746,0.015383061835082949,500
2025-01-25T23:11:15.866Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T19:36:22.110000+00:00,2025-01-25T19:39:43.249127+00:00,79729,0.7580828084220793,500
2025-01-25T23:11:15.903Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T19:43:51.259000+00:00,2025-01-25T19:52:46.476155+00:00,177746,0.015383061835082949,500
2025-01-26T00:55:15.633Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T19:36:22.110000+00:00,2025-01-25T19:39:43.249127+00:00,79729,0.7580828084220793,500
2025-01-26T00:55:15.670Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T19:43:51.259000+00:00,2025-01-25T19:52:46.476155+00:00,177746,0.015383061835082949,500
2025-01-26T02:12:38.327Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T19:36:22.110000+00:00,2025-01-25T19:39:43.249127+00:00,79729,0.7580828084220793,500
2025-01-26T02:12:38.372Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T19:43:51.259000+00:00,2025-01-25T19:52:46.476155+00:00,177746,0.015383061835082949,500
2025-01-26T03:13:48.143Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T19:36:22.110000+00:00,2025-01-25T19:39:43.249127+00:00,79729,0.7580828084220793,500
2025-01-26T03:13:48.199Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T19:43:51.259000+00:00,2025-01-25T19:52:46.476155+00:00,177746,0.015383061835082949,500
2025-01-26T04:12:56.182Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T19:36:22.110000+00:00,2025-01-25T19:39:43.249127+00:00,79729,0.7580828084220793,500
2025-01-26T04:12:56.245Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T19:43:51.259000+00:00,2025-01-25T19:52:46.476155+00:00,177746,0.015383061835082949,500
2025-01-26T05:11:53.680Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T19:36:22.110000+00:00,2025-01-25T19:39:43.249127+00:00,79729,0.7580828084220793,500
2025-01-26T05:11:53.804Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T19:43:51.259000+00:00,2025-01-25T19:52:46.476155+00:00,177746,0.015383061835082949,500
2025-01-26T06:14:23.883Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T19:36:22.110000+00:00,2025-01-25T19:39:43.249127+00:00,79729,0.7580828084220793,500
2025-01-26T06:14:23.923Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T19:43:51.259000+00:00,2025-01-25T19:52:46.476155+00:00,177746,0.015383061835082949,500
2025-01-26T07:09:51.844Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T19:36:22.110000+00:00,2025-01-25T19:39:43.249127+00:00,79729,0.7580828084220793,500
2025-01-26T07:09:51.886Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T19:43:51.259000+00:00,2025-01-25T19:52:46.476155+00:00,177746,0.015383061835082949,500
2025-01-26T08:12:51.129Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T19:36:22.110000+00:00,2025-01-25T19:39:43.249127+00:00,79729,0.7580828084220793,500
2025-01-26T08:12:51.230Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T19:43:51.259000+00:00,2025-01-25T19:52:46.476155+00:00,177746,0.015383061835082949,500
2025-01-26T09:10:38.404Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T19:36:22.110000+00:00,2025-01-25T19:39:43.249127+00:00,79729,0.7580828084220793,500
2025-01-26T09:10:38.443Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T19:43:51.259000+00:00,2025-01-25T19:52:46.476155+00:00,177746,0.015383061835082949,500
2025-01-26T10:11:05.765Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T19:36:22.110000+00:00,2025-01-25T19:39:43.249127+00:00,79729,0.7580828084220793,500
2025-01-26T10:11:05.804Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T19:43:51.259000+00:00,2025-01-25T19:52:46.476155+00:00,177746,0.015383061835082949,500
2025-01-26T11:08:17.286Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T19:36:22.110000+00:00,2025-01-25T19:39:43.249127+00:00,79729,0.7580828084220793,500
2025-01-26T11:08:17.327Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T19:43:51.259000+00:00,2025-01-25T19:52:46.476155+00:00,177746,0.015383061835082949,500
2025-01-26T12:18:52.471Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T19:36:22.110000+00:00,2025-01-25T19:39:43.249127+00:00,79729,0.7580828084220793,500
2025-01-26T12:18:52.582Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T19:43:51.259000+00:00,2025-01-25T19:52:46.476155+00:00,177746,0.015383061835082949,500
2025-01-26T13:12:27.536Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T19:36:22.110000+00:00,2025-01-25T19:39:43.249127+00:00,79729,0.7580828084220793,500
2025-01-26T13:12:27.576Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T19:43:51.259000+00:00,2025-01-25T19:52:46.476155+00:00,177746,0.015383061835082949,500
