fetched_at,id,last_opened_at,updated_at,word_count,reading_progress,cutoff
2025-01-25T07:09:49.664Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T06:25:46.191000+00:00,2025-01-25T06:48:31.823105+00:00,79729,0.7452290214559738,500
2025-01-25T07:09:49.782Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T06:50:24.247000+00:00,2025-01-25T07:02:12.342235+00:00,177746,0.009366883969898078,500
2025-01-25T08:13:59.882Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T06:25:46.191000+00:00,2025-01-25T06:48:31.823105+00:00,79729,0.7452290214559738,500
2025-01-25T08:13:59.921Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T06:50:24.247000+00:00,2025-01-25T07:02:12.342235+00:00,177746,0.009366883969898078,500
2025-01-25T09:11:33.375Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T06:25:46.191000+00:00,2025-01-25T06:48:31.823105+00:00,79729,0.7452290214559738,500
2025-01-25T09:11:33.438Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T06:50:24.247000+00:00,2025-01-25T07:02:12.342235+00:00,177746,0.009366883969898078,500
2025-01-25T10:10:35.903Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T06:25:46.191000+00:00,2025-01-25T06:48:31.823105+00:00,79729,0.7452290214559738,500
2025-01-25T10:10:35.940Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T06:50:24.247000+00:00,2025-01-25T07:02:12.342235+00:00,177746,0.009366883969898078,500
2025-01-25T11:09:15.788Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T06:25:46.191000+00:00,2025-01-25T06:48:31.823105+00:00,79729,0.7452290214559738,500
2025-01-25T11:09:15.904Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T06:50:24.247000+00:00,2025-01-25T07:02:12.342235+00:00,177746,0.009366883969898078,500
2025-01-25T12:18:42.721Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T06:25:46.191000+00:00,2025-01-25T06:48:31.823105+00:00,79729,0.7452290214559738,500
2025-01-25T12:18:42.760Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T06:50:24.247000+00:00,2025-01-25T07:02:12.342235+00:00,177746,0.009366883969898078,500
2025-01-25T13:12:46.999Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T06:25:46.191000+00:00,2025-01-25T06:48:31.823105+00:00,79729,0.7452290214559738,500
2025-01-25T13:12:47.104Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T06:50:24.247000+00:00,2025-01-25T07:02:12.342235+00:00,177746,0.009366883969898078,500
2025-01-25T14:09:32.451Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T06:25:46.191000+00:00,2025-01-25T06:48:31.823105+00:00,79729,0.7452290214559738,500
2025-01-25T14:09:32.562Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T06:50:24.247000+00:00,2025-01-25T07:02:12.342235+00:00,177746,0.009366883969898078,500
2025-01-25T15:10:06.136Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T06:25:46.191000+00:00,2025-01-25T06:48:31.823105+00:00,79729,0.7452290214559738,500
2025-01-25T15:10:06.196Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T06:50:24.247000+00:00,2025-01-25T07:02:12.342235+00:00,177746,0.009366883969898078,500
2025-01-25T16:12:56.073Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T06:25:46.191000+00:00,2025-01-25T06:48:31.823105+00:00,79729,0.7452290214559738,500
2025-01-25T16:12:56.113Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T06:50:24.247000+00:00,2025-01-25T07:02:12.342235+00:00,177746,0.009366883969898078,500
2025-01-25T17:08:38.997Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T06:25:46.191000+00:00,2025-01-25T06:48:31.823105+00:00,79729,0.7452290214559738,500
2025-01-25T17:08:39.042Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T06:50:24.247000+00:00,2025-01-25T07:02:12.342235+00:00,177746,0.009366883969898078,500
2025-01-25T18:13:36.566Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T06:25:46.191000+00:00,2025-01-25T06:48:31.823105+00:00,79729,0.7452290214559738,500
2025-01-25T18:13:36.603Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T06:50:24.247000+00:00,2025-01-25T07:02:12.342235+00:00,177746,0.009366883969898078,500
